date;18-29;30-49;50-64;65+
3/21/2005;0,07;0,06;0,04;0,03
12/8/2005;0,16;0,09;0,05;0,02
8/31/2006;0,41;0,06;0,03;0
5/11/2008;0,6;0,21;0,07;0,02
8/10/2008;0,65;0,27;0,1;0,03
8/31/2008;0,68;0,27;0,09;0,02
12/4/2008;0,67;0,3;0,12;0,02
12/20/2008;0,59;0,28;0,08;0,03
4/19/2009;0,7;0,42;0,2;0,05
9/14/2009;0,67;0,44;0,21;0,06
12/27/2009;0,78;0,47;0,25;0,08
1/19/2010;0,76;0,51;0,26;0,07
5/30/2010;0,82;0,53;0,37;0,11
9/13/2010;0,8;0,52;0,31;0,09
11/24/2010;0,74;0,54;0,33;0,11
11/28/2010;0,78;0,54;0,33;0,14
12/21/2010;0,76;0,55;0,36;0,12
5/22/2011;0,79;0,61;0,38;0,14
8/26/2011;0,82;0,59;0,36;0,12
2/19/2012;0,82;0,64;0,39;0,16
8/7/2012;0,88;0,68;0,48;0,22
5/19/2013;0,87;0,72;0,5;0,24
7/14/2013;0,87;0,72;0,49;0,21
9/30/2013;0,89;0,74;0,54;0,27
1/26/2014;0,84;0,77;0,52;0,27
7/12/2015;0,9;0,77;0,51;0,35
11/6/2016;0,86;0,8;0,64;0,34
1/10/2018;0,88;0,78;0,64;0,37
2/7/2019;0,9;0,82;0,69;0,4
